text,label_gt
how do i locate my card,11
i still have not received my new card i ordered over a week ago,11
i ordered a card but it has not arrived help please,11
is there a way to know when my card will arrive,11
my card has not arrived yet,11
when will i get my card,11
do you know if there is a tracking number for the new card you sent me,11
i have not received my card,11
still waiting on that card,11
is it normal to have to wait over a week for my new card,11
how do i track my card,11
how long does a card delivery take,11
i still dont have my card after 2 weeks what should i do,11
still waiting on my new card,11
i am still waiting for my card after 1 week is this ok,11
i have been waiting longer than expected for my bank card could you provide information on when it will arrive,11
ive been waiting longer than expected for my card,11
why hasnt my card been delivered,11
where is my new card i have been waiting a week,11
my card still hasnt arrived after 2 weeks is it lost,11
i did not get my card yet is it lost,11
status of the card i ordered,11
how long should my new card take to arrive,11
i ordered my card 2 weeks ago and it still isnt here what do i do,11
my card has not arrived yet where is it,11
what is the tracking number for my card that was mailed,11
i think something went wrong with my card delivery as i havent received it yet,11
im still waiting for delivery of my new card why is it taking so long,11
i ordered a card a week ago and its still not here what do i do,11
i want to track the card you sent,11
my card hasnt arrived yet,11
i was expecting my new card and am wondering why i havent received it yet,11
how do i know when my card will arrive,11
im still waiting on my card to be delivered,11
does the card you sent have a way to track to it,11
i ordered a card and i still havent received it its been two weeks what can i do,11
im starting to think my card is lost because it still hasnt arrived can you help,11
is there tracking info available,11
what is the tracking number for the card you sent,11
where is the tracking number for the card you sent me,11
why wont my card show up on the app,13
i would like to reactivate my card,13
where do i link the new card,13
i have received my card can you help me put it in the app,13
how do i link a card that i already have,13
i received my new card but i dont see it in the app anywhere what do i do,13
how do i readd a card to the app,13
how do i add the card to my account,13
can i put my old card back into the system i just found it,13
i have one of your cards already how do i link it,13
how do i link a new card,13
can i link an existing card,13
how do i link one your card if i have one already,13
how do i add a card to the app,13
can i link my new card,13
hello i found the card i misplaced and i need to reactive it how do i do that,13
can you tell me how to link one of your cards that i already have,13
how do i view the card i received in the app,13
where on the website do i go to link my card,13
i found my card can i add it to the app,13
how do i link to my credit card with you,13
ive received my card so now i need to know how to sync it to the app,13
i found my card i would like to reactivate it,13
how do i link this new card,13
can i reactivate my lost card that i found this morning in my jacket pocket,13
how do i link an already existing card,13
the app doesnt show the card i received,13
how do i link a card i already have,13
i would like to link my card how do i do it,13
can you please show me where i can find the location to link my card,13
where do i go if i want to link my new card,13
is there a way to make my old card usable with the app,13
can i reactivate a card i thought i lost,13
how do i link my card,13
where do i need to go in the app to enter my card info,13
i have found my lost or stolen card is there a way i can link the card with my account through my app again,13
could you help me reactivate my card it was previously lost but i found it this morning in my jacket,13
i already have one of your cards how do i link them,13
how do i link my replacement card,13
can i link another card to my account,13
i need to know your exchange rates,32
what exchange rates do you offer,32
how did you come up with your exchange rates,32
where do you guys acquire your exchange rate,32
how do i find the exchange rate,32
what are your international exchange rates,32
how often do your exchange rates change,32
please advise what is the exchange rate,32
how are exchange rates calculated,32
what are exchange rates based on,32
what are exchange rates,32
what are the most current exchange rates,32
can you explain your exchange rate policy to me,32
is it a good time to exchange,32
what is the exchange rate like on this app,32
do you have a list of exchange rates,32
can you tell me where you get your exchange rates,32
will i get a curreng foreign exchange rate,32
what currencies is an exchange rate calculated in,32
where do you get your exchange rates from,32
what is the base of the exchange rates,32
what exchange rate do you use,32
the exchange rates are,32
what do you base your exchange rates on,32
what foreign exchange rate will you use,32
how much will i get with the exchange rate,32
the exchange rate would be,32
what is the exchange rate like,32
how do your exchange rates work,32
what is the exchange rate,32
where did your guys exchange rates come from,32
how are you determining your exchange rates,32
im trying to figure out the current exchange rate,32
from where are you getting your exchange rates,32
can you tell me the foreign exchange rate,32
why do your exchange rates change,32
what kind of foreign exchange rate will i get when i exchange my money,32
what is my foreign exchange rate,32
when does the rate get determined,32
what is the current exchange rate for me,32
i purchased something in a foreign currency but the rate applied is wrong,17
i made a currency exchange and think i was charged more than i should of been,17
the card payment exchange rate is wrong,17
the exchange rate was wrong when i bought something outside the country,17
the exchange rate on my purchase is wrong,17
this rate is too low are you sure your using the right exchange rate,17
i bought something but the exchange rate looks wrong,17
the rate applied to my foreign purchase was incorrect,17
i bought something in a foreign currency but the rate applied is wrong,17
my exchange went wrong i swapped russian ruble for uk pounds and was charged too much,17
you did not apply the correct exchange rate for an item that i bought,17
the rate of exchange for my card payment is incorrect,17
the rate for a currency exchange was wrong when i bought something,17
why is the exchange rate wrong when i purchase something abroad,17
i bought an item and noticed the exchange rate was not correct,17
i bought something overseas and the wrong exchange rate is on my statement,17
the exchange rate for my transaction last saturday seems to have been wrong i got charged extra please fix,17
why is your exchange rate for my card payment wrong,17
why am i being charged more,17
i purchased an item and the exchange rate i was given was incorrect,17
i dont think my card payment exchange rate is correct,17
when i made a purchase last saturday i was charged extra did i receive the right exchange rate,17
they charged me wrong for a currency exchange on a purchase,17
i believe my card payment exchange rate is incorrect,17
hi i have been overcharged for my payment last saturday i guess exchange rate was wrong,17
the exchange rate seems off on this transaction,17
the exchange rate given to me wasnt correct after i purchased an item,17
hi i dont think your exchange rate is right i need you to check the official interbank exchange please,17
im pretty sure something went wrong with my exchange i changed russian ruble to uk pounds and was charged way too much,17
i wasnt applied the correct exchange rate for an item i bought,17
the conversion value for my card payments is incorrect,17
the wrong exchange rate was used when i bought something with a foriegn currency,17
i paid for something in foreign currency but noticed the exchange rate is incorrect,17
the incorrect rate was used in my foreign purchase,17
why was the exchange rate incorrect for an item i recently bought,17
why is my exchange rate wrong for an item i bought,17
how can i check the exchange rate applied to my transaction,17
your exchange rate is totally wrong for my card payment,17
the wrong rate was applied to an item i bought in a currency different from mine can this be changed,17
i go the wrong exchange rate applied to my purchase in a foreign country,17
my statement has a dollar i have been charged showing up on it,34
why is there a fee for an extra pound in my statement,34
im not okay with this fee on my statement,34
why is there an extra dollar charged to my account,34
there is a fee i dont recognize on my statement,34
i would like a refund on the extra pound i was charged,34
can you explain what this random 1 charge is,34
what is this 1 charge on my statement,34
why does my statement have these extra charges,34
i do not remember purchasing anything for 1 and it is on my statement can you please tell me what that is about,34
i can see an extra 1 charge on my app why did you charge me extra,34
can you tell me why i noticed a 1 charge on my statement,34
when will the 1 transaction be credited to me,34
where did this fee come from,34
