text,label_gt
i am still waiting on my card,11
what can i do if my card still hasnt arrived after 2 weeks,11
i have been waiting over a week is the card still coming,11
can i track my card while it is in the process of delivery,11
how do i know if i will get my card or if it is lost,11
when did you send me my new card,11
do you have info about the card on delivery,11
what do i do if i still have not received my new card,11
does the package with my card have tracking,11
i ordered my card but it still isnt here,11
why has my new card still not come,11
i still havent received my card after two weeks is it lost,11
can you track my card for me,11
is there a way to track the delivery of my card,11
its been a week since i ordered my card and its not here please help,11
will i be able to track the card that was sent to me,11
i dont have my card in 1 week should i be worried,11
how do i know when my new card is going to arrive,11
my new card has not been delivered to my home yet what is going on,11
its been a week since you issued me a card and i still didnt get it should i keep waiting,11
on the card that is coming whats the tracking info,11
what is the status of my cards delivery,11
have you sent out my card yet,11
my card isnt here yet,11
where is my new card,11
its been a week since you sent my card and i still dont have it,11
how do i track the card you sent me,11
when will i recieve my new card,11
when will i get my new card,11
what is the expected delivery date for my card,11
is there a tracking number for the card you sent me,11
i would like to track the card you sent to me,11
has my card been lost in delivery,11
my new card hasnt came in,11
where is the card i ordered 2 weeks ago,11
can i get an update on my replacement card,11
how long does it take for a new card to ship,11
whats the tracking on the card you sent,11
i havent received my card and am worried it is lost,11
my card still hasnt been delivered,11
i need to find out where the card is that i ordered,11
where is my credit card that was to be mailed,11
i ordered my card but it hasnt been delivered yet,11
am i able to track the card that was just sent to me,11
can you tell me why i havent received my new card,11
im still waiting for my new card,11
is my card lost i am still waiting for it to be delivered,11
should i keep waiting for my card to be delivered,11
can i track when my card will be delivered,11
how can i check on the status of my new card,11
a card has been sent to me how do i track it,11
is there a way i can get my card expedited,11
what can i do to track the card you sent me,11
why hasnt my card come in yet,11
how can i periodically check the delivery of the card you sent,11
whats the reason my new card hasnt come,11
how long does it take for me to get my new card,11
i dont have my card after 1 week what are my next steps,11
i know im getting a new card but would like know when i can expect to receive it,11
i want to find out what happened to my new card,11
was there a way for me to get tracking for that,11
i am still waiting for my card,11
my card hasnt arrived,11
can i track the card you sent to me,11
i havent gotten my new card,11
how long should it take for my new card to arrive in them mail what should i do if i never receive it,11
will i have to wait much longer for my new card to arrive,11
how to track the card you sent,11
2 weeks ago i ordered my new card it isnt here what should i do,11
how can i check on the delivery status of my card,11
my card has not been delivered yet and its been a week since i ordered it please help,11
whats the expected wait time to recieve my new card,11
how can i see the progress of delivery of the card that was sent,11
my card was supposed to arrive but hasnt,11
i ordered a card and would like to know how to track the delivery progress of it,11
how long will it take for me to get my card,11
my card hasnt shown up yet,11
does the card you sent have a tracking number,11
my card hasnt arrived in the mail yet i ordered it two weeks ago what can i do,11
maximum how many days get the courier,11
is there a reason my new card hasnt arrived yet,11
ive been waiting a while for my card is there a way to know when it will arrive,11
how can i track my cards delivery,11
can i track the card that was just sent to me,11
if i ordered my new card last week how much longer should i wait to receive it,11
whats go on where is my new card,11
where is my new card if i havent received it yet,11
where is my card,11
can you tell me why i havent received my new card yet,11
is there a way to track my card,11
is there a way to track the new card you sent me,11
im still waiting for my card,11
what do i need to do to get my new card which i have requested 2 weeks ago,11
what is the solution of this problem,11
could i get tracking on the card,11
can you help me track my card,11
shouldnt my new card be here by now,11
is there a reason my new card hasnt arrived,11
i would like to track a card sent to me how do i do that,11
is there a tracking number for the card,11
can you share card tracking number,11
i have not received my card and its been a week what do i do,11
is there a way i can check on the card on route to me,11
when will my new card arrive,11
why havent i received my new card yet,11
what is the expected delivery date of my card,11
my card hasnt came in the mail yet,11
i havent received my card,11
is it possible for me to track the card is was mailed to me,11
when will my new card be delivered,11
